"","Phylum","Class","Order","Family","Common name/Group","Count"
"1","Platyhelminthes",NA,NA,"Various","Flatworm",3
"2","Annelida",NA,NA,"Lumricidae","Trueworm",24
"3","Mollusca",NA,NA,"Limnaeidae","Pond snail",2
"4","Arthropoda","Crustacea","Amphipoda","Gammaridae","Freshwater shrimp",296
"5",NA,"Insecta","Ephemeroptera","Baetidae","Swimming mayfly",133
"6",NA,NA,NA,"Heptagaenidae","Flat mayfly",14
"7",NA,NA,NA,"Ephemerellidae","Black mayfly",9
"8",NA,NA,NA,"Ephemeridae","Burrowing mayfly",110
"9",NA,NA,NA,"Caenidae","Angler's Curse mayfly",5
"10",NA,NA,"Plecoptera","Perlodidae","Big-head stonefly",8
"11",NA,NA,NA,"Perlidae","Leg-gill Stonefly",14
"12",NA,NA,NA,"Taeniopterigidae","Drifter stonefly",1
"13",NA,NA,NA,"Nemouridae","Neck-gill stonefly",4
"14",NA,NA,NA,"Leuctridae","Long-thin stonefly",5
"15",NA,NA,NA,"Chloroperlidae","Long-bodied stonefly",4
"16",NA,NA,"Trichoptera","Limnephilidae","Cased caddis (stones)",15
"17",NA,NA,NA,"Limnephilidae","Cased caddis (veg)",11
"18",NA,NA,NA,"Rhyacophilidae","Green caseless caddis",3
"19",NA,NA,NA,"Philopotamidae","Yellow caseless caddis",3
"20",NA,NA,"Coleoptera","Dytiscidae","Diving beetle",1
"21",NA,NA,NA,"Elmidae","Riffle beetle",2
