SpeciesCode,ScientificName,Native.Non.Native,Functional.Group,FunGroup,LifeForm
ACHMOL,Achyrachaena mollis,Native,Annual Forb - Other,Forb,Annual
ACMGLA,Acmispon glaber,Native,Perennial Forb - Other,Forb,Perennial
ACMSTR,Acmispon strigosus,Native,Annual Forb - Other,Forb,Annual
ACMWRA,Acmispon wrangelianus,Native,Annual Forb - Other,Forb,Annual
ALYCON,Agrostis pallens,Native,Perennial Grass - Other,Grass,Perennial
AMAALB,Amaranthus albus,Non-native,Forb,Forb,Annual
AMBACA,Ambrosia acanthicarpa,Native,Annual Forb - Late Flowering,Forb,Annual
AMBPSI,Ambrosia psilostachya,Native,Perennial Forb - Late Flowering,Forb,Perennial
AMSMEN,Amsinckia menziesii var intermedia,Native,Annual Forb - Other,Forb,Annual
ANAARV,Anagallis arvensis,Non-native,Annual Forb,Forb,Annual
ANTCAU,Anthriscus caucalis,Non-native,Forb,Forb,Annual
ARTCAL,Artemisia californica,Native,Shrub - Other,Shrub,Perennial
ARTUAL,Artemisia dracunculus,Native,Perennial Forb - Late Flowering,Forb,Perennial
ASCFAS,Asclepias fascicularis,Native,Perennial Forb - Late Flowering,Forb,Perennial
AVEBAR,Avena barbata,Non-native,Grass,Grass,Annual
AVEFAT,Avena fatua,Non-native,Grass,Grass,Annual
AVESPP,Avena spp.,Non-native,Grass,Grass,Annual
BACPIL,Baccharis pilularis,Native,Shrub - Late Flowering,Shrub,Perennial
BLOCRO,Bloomeria crocea,Native,Perennial Forb - Other,Forb,Perennial
BRADIS,Brachypodium distachyon,Non-native,Grass,Grass,Annual
BRANIG,Brassica nigra,Non-native,Forb,Forb,Annual
BROCAR,Bromus carinatus,Native,Perennial Grass - Other,Grass,Perennial
BROCAT,Bromus catharticus,Non-native,Grass,Grass,Annual
BRODIA,Bromus diandrus,Non-native,Grass,Grass,Annual
BROHOR,Bromus hordeaceus,Non-native,Grass,Grass,Annual
BROMAD,Bromus madritensis,Non-native,Grass,Grass,Annual
BROSPP,Bromus species,Non-native,Grass,Grass,Annual
CALCAT,Calochortus catalinae,Native,Perennial Forb - Other,Forb,Perennial
CALCIL,Calandrina ciliata,Native,Annual Forb - Other,Forb,Annual
CALMAC,Calystegia macrostegia,Native,Perennial Forb - Other,Forb,Perennial
CALSPL,Calochortus splendens,Native,Perennial Forb - Other,Forb,Perennial
CAMSPP,Camissoniopsis species,Native,Annual Forb - Other,Forb,Annual
CAPBUR,Capsella bursa-pastoris,Non-native,Forb,Forb,Annual
CASEXE,Castilleja exserta,Native,Annual Forb - Other,Forb,Annual
CENMEL,Centaurea melitensis,Non-native,Forb,Forb,Annual
CERGLO,Cercocarpus betuloides,Native,Tree,Tree,Perennial
CHAGLA,Chaenactis glabriuscula,Native,Annual Forb - Other,Forb,Annual
CHEALB,Chenopodium album,Non-native,Forb,Forb,Annual
CHECAL,Chenopodium californicum,Native,Perennial Forb - Late Flowering,Forb,Perennial
