"Plot.key","AVESPP","BROMAD","BROSPP","ERIPAL","EROSPP","ISOMEN","LUPSPA","LUPSUC","NoNatVeg","SANSPP","STIPUL","VICVIL","BRANIG","BROHOR","CALSPL","DEIFAS","DICCAP","FESPER","LACSER","LUPMIC","GALAPA","MEDPOL","OPULIT","SAMNIG","SISBEL","ANTCAU","BLOCRO","BROCAR","BRODIA","CIROCC","ERIELO","GALANG","MELIMP","RANCAL","SANARG","CYNCAR","HETARB","SONOLE","ARTCAL","CENMEL","ELYCON","ENCCAL","MALFAS","MALLAU","SILMAR","SOLXAN","CALCAT","EUCCHR","GERROT","GRICAM","STARIG","TOXDIV","CALMAC","NATSHRUB","RHUINT","SALMEL","ACMGLA","EROCIC","HYPGLA","MARMAC","RAFCAL","SALAPI","EPICAN","LUPBIC","FESMYU","GALSPP","CORFIL","AMSMEN","HIRINC","RUMCRI","ASCFAS","CONYZA","PHACIC","BACPIL","SANCRA","SOLVEL","ERIFAS","SANBIP","ANAARV","CROSET","ELYGLA","HAZSQU","CONARV","AMBPSI","ERIFOL","MALSAX","MIMAUR","RHAILI","SONASP","STILEP","CRYINT","QUEAGR","ESCCAL","PSECAL","SALCOL","PLAERE","PHARAM","TRILANC","LUPLON","BROCAT","SALTRA","ACMSTR","AMAALB","EROMOS","HELECH","MIRLAE","PHAPAR","BRADIS","EMMPEN","CHAGLA","CAMSPP","HORMUR","MARVUL","MELIND","STEVIR","STAAJU","GALPAR","KECCOR","MALPAR","PSELUT","SCHBAR","LAMAUR","CLAPUR","SISIRI","SONSPP","EROBOT","CAPBUR","CHEALB","HESWHI","CALCIL","AVEFAT","AVEBAR","SOLDOU","AMBACA","EUPPEP","CASEXE","TORNOD","CHECAL","SOLUMB","PSEBIO","CONCAN","ACHMOL","STEHET","EPISPP","EROBRA","ARTUAL","DEIPAS","UROLIN","MELALB","ACMWRA","ERICAN","LYSARV","TRISPP","LASSSP","LEPNIT","SCRCAL","ERISPP","PHACAN","CERGLO","VERVIR","ONCPIL","SILGAL","LUPALB"
"P1_2011_BFP1_1_Perennial Grassland_passive",31,2,18,4,1,1,2,1,41,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP1_2_Perennial Grassland_passive",41,4,27,2,0,1,0,0,38,1,14,1,2,3,1,3,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP1_3_Perennial Grassland_passive",30,10,6,0,0,1,0,0,39,0,13,1,0,10,0,4,1,9,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP11_1_CSS_passive",0,0,0,1,0,1,2,0,28,0,1,1,4,0,0,0,1,12,0,0,0,1,0,0,0,1,3,19,39,1,2,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP19_1_Perennial Grassland_passive",32,0,42,0,0,2,0,0,33,0,15,0,17,0,0,0,3,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP2_1_CSS_passive",2,40,1,0,0,0,0,6,42,0,0,0,40,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP21_1_Perennial Grassland_passive",31,0,0,0,0,1,0,1,19,0,30,0,7,0,0,1,2,28,0,1,0,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP23_1_CSS_passive",5,0,0,0,0,0,0,0,33,0,0,0,9,1,0,1,4,3,0,0,0,0,0,2,0,3,0,3,42,1,0,2,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_2011_BFP5_1_CSS_passive",26,12,18,0,0,2,0,1,44,0,3,0,8,0,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P2_2011_BFP12_1_CSS_passive",0,25,0,0,0,0,0,1,29,0,0,0,18,3,0,0,2,12,0,0,1,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,1,0,7,13,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
