Site,Latitude,Longitude,MusselMax,Mean,P90,Max,MonAvg,MeanMonMax,DailyMean,MeanDMax,Range,DailyRange,MeanRange
BB,38.316554,-123.071194,83.02937158,14.58106603,24.4,38.3,14.82290914,29.53076923,14.61212679,21.90480419,42.7,13.08594718,24.61
BC,44.245098,-124.114976,99.98747723,10.28868796,15.66666667,30.66666667,10.45393808,20.1025641,10.20027974,13.2893898,33.33333333,6.152777778,16.94871795
CA,43.30266,-124.399057,78.14321494,12.55177206,17.66666667,28,12.60558502,22,12.38286177,15.72100457,28.66666667,6.30456621,16.69230769
CB,35.532775,-121.083469,84.52868852,15.38046133,27.8,42.8,15.5189253,32.50769231,15.39655851,25.11479964,46.7,17.65876431,29.90769231
CC,33.56885,-117.835761,85.68875228,17.99184414,23.9,38.3,18.29962532,29.53076923,18.08858587,21.93041894,40.5,7.319808743,19.52307692
CM,45.471996,-123.971527,100,10.43453905,17,36,10.65498078,22.76923077,10.3313018,14.45400729,43.33333333,7.355874317,21.17948718
CT,34.388864,-119.518296,94.1951275,15.75155611,21.1,37.2,15.86360125,27.6,15.77995106,20.91748634,36.1,9.817695811,20.68461538
DP,33.461621,-117.715855,78.1079235,16.4287275,23.9,39.4,16.54628639,30.43076923,16.43882982,22.59522769,41.1,11.9791491,24.7
EC,45.908115,-123.9691,94.9863388,11.23880425,17.8,33.3,11.33530408,21.90769231,10.98561879,14.03380822,38.3,5.949586044,18.05769231
FC,44.837389,-124.058641,93.47449909,11.42261082,16.33333333,29.33333333,11.34193909,20.12820513,11.19161891,13.75,36.33333333,5.143442623,16.38461538
HZ,35.289393,-120.883955,81.68715847,15.8695557,23.3,41.7,16.1249883,30.55384615,15.9314722,22.88128415,41.7,12.04741348,24.22153846
KH,39.59916,-123.78854,96.36270492,15.26047339,28.3,43.3,15.35912595,31.57692308,15.03531867,22.21635246,46.6,13.18694249,27.83846154
LC,33.589266,-117.868364,85.21857923,18.05148143,23.9,40.6,18.32192946,29.9,18.17450167,22.34494536,42.8,7.86370674,20.11538462
MB,36.624897,-121.940889,92.03324226,14.42912802,19.4,32.8,14.41411395,25.37692308,14.4597011,18.48296903,32.2,7.35568306,17.79358974
PG,41.7704,-124.24654,90.47814208,12.08833118,15.6,25.6,12.23741666,19.57692308,12.03445881,14.78468124,25,5.446856406,14.24087912
SB,35.164994,-120.69249,85.64499602,15.84482761,23.3,41.7,15.85424361,30.38461538,15.9034575,22.88265027,41.7,12.05710383,24.05230769
SC,32.871146,-117.253495,71.95622435,18.70942138,26.1,40,18.78647438,32.26923077,18.8400881,24.6626703,38.9,10.6301317,22.80384615
SP,47.652977,-124.392349,99.99886157,10.74739021,16.7,32.2,11.0819914,22.39487179,10.71487601,14.50925254,38.3,7.283726906,20.62564103
SR,44.499975,-124.084304,99.81555556,10.19338539,15.33333333,30.66666667,10.453859,20.53846154,10.16929977,13.24408015,33.66666667,6.161202186,17.43589744
