Year,Month,Day,Date,Site,Bed_Stability,Collectors,SampleTime_Water,Vial#_Turbidity,Turbidity_NTU,Standard_NTU,SwinexID,SwinexID2,Sample_ID,AvgCorrConcentration_ug.L,BeufortWindScale,AirTemp_F,Rain,CurrentStrength,CurrentDirection,FisherPen_Temp,FisherPen_Salinity,Depth_YSI,Temp_C,DO_mg/L,DO_%,Depth_PAR,PPFD,BottomDepth_ft,VegDepth_ft,Secchidepth_ft,HOBOtime_start,HOBOtime_end,ForelUleColorCategory,Notes,Notes
2021,12,4,12/4/2021,1,Transitional,"MW, DB, AJ",9:12:00 AM,N,0.59,0.0,01,,1001,0.48,NA,NA,0,NA,out,NA,NA,9.0,16.4,8.47,103.3,NA,NA,9.9,9.9,4.0,NA,NA,2,PAR sensor setup incorectly,"Calm,some organic debris, bubbles"
2021,12,4,12/4/2021,2,Transitional,"MW, DB, AJ",10:08:00 AM,O,0.32,0.0,02,,1002,0.41,NA,58,0,NA,out,NA,NA,4.0,16.4,7.73,93.7,NA,NA,5.6,5,NA,NA,NA,1,bottom visible,"Clear, calm, water hazy, oil slick"
2021,12,4,12/4/2021,3,Transitional,"MW, DB, AJ",10:45:00 AM,L,0.21,0.0,03,,1003,0.38,NA,60,0,NA,out,NA,NA,3.0,16.1,7.95,98.4,NA,NA,4.6,4.2,NA,NA,NA,2,bottom visible,NA
2021,12,4,12/4/2021,4,Stable,"MW, DB, AJ",11:20:00 AM,J,0.10,0.0,04,,1004,0.44,NA,57,0,NA,out,NA,NA,NA,16.4,8.06,98.6,NA,NA,5.5,3.5,NA,NA,NA,NA,bottom visible,"partly cloudy, clear water, visible grass"
2021,12,4,12/4/2021,5,Stable,"MW, DB, AJ",11:50:00 AM,F,0.25,0.0,05,,1005,0.40,NA,59,0,NA,out,NA,NA,4.0,16.2,8.15,100.6,NA,NA,5.7,5.1,NA,NA,NA,1,bottom visible,"partly cloudy, seal nearby, bottom visible"
2021,12,4,12/4/2021,6,Stable,"MW, DB, AJ",12:15:00 PM,H,0.39,0.0,06,,1006,0.33,NA,59,0,NA,low tide,NA,NA,NA,16.7,8.41,103.9,NA,NA,3.4,3.1,NA,NA,NA,NA,bottom visible,"clear skies, clear water, epiphytic growth on seagrass, bubbles/churn"
2021,12,4,12/4/2021,7,Stable,"MW, DB, AJ",12:30:00 PM,D,0.23,0.0,07,,1007,0.31,NA,60,0,weak,NA,NA,NA,4.0,16.4,8.02,98.5,NA,NA,6.1,5.6,NA,NA,NA,2,bottom visible,"sunny, organic debris, trash, seagrass sparse"
2021,12,4,12/4/2021,8,Transitional,"MW, DB, AJ",12:47:00 PM,P,0.45,0.0,08,,1008,0.58,NA,60,0,NA,out,NA,NA,NA,16.4,8.46,101.6,NA,NA,9,8.1,NA,NA,NA,1,bottom visible,"sunny, slight breeze, bubbles, some organic debris"
2021,12,15,12/15/2021,1,Transitional,"MW, DB",9:03:00 AM,H,14.30,0.0,1,,1011,0.64,NA,43,0,NA,NA,NA,NA,7.0,13.5,7.91,90.8,7.00,0.06,9.8,9.5,<1,NA,NA,5,Air reading of 3712 recorded at first site,"Sunny clear skies, some organic debris, glassy"
2021,12,15,12/15/2021,2,Transitional,"MW, DB",10:00:00 AM,P,8.74,0.0,2,,1012,1.25,NA,43,0,Strong,Out,NA,NA,4.0,13.4,7.50,87.1,4.00,50.18,5.5,4.8,1.0,NA,NA,5,,"Sunny clear skies, some organic debris, glassy"
2021,12,15,12/15/2021,3,Transitional,"MW, DB",10:11:00 AM,L,9.41,0.0,3,,1013,1.11,NA,45,0,NA,NA,NA,NA,2.0,14.1,7.49,87.7,2.00,231.60,2.8,2.8,1.0,NA,NA,5,,Sunny clear skies
2021,12,15,12/15/2021,4,Stable,"MW, DB",10:50:00 AM,J,2.15,0.0,4,,1014,3.26,NA,NA,0,NA,NA,NA,NA,3.0,14.0,7.61,88.8,3.00,369.00,4.5,3.9,3.0,NA,NA,4,,"Slightly cloudy, no breeze, organic debris"
2021,12,15,12/15/2021,5,Stable,"MW, DB",11:10:00 AM,N,2.87,0.0,5,,1015,1.72,NA,NA,0,NA,NA,NA,NA,4.0,14.3,7.48,88.0,4.00,133.20,6,4.8,3.0,NA,NA,5,,NA
