"Date","Observers","Block","Treatment","Direction","Plant Species","Tag Number","Canopy1_VWC","Canopy1_PER","Canopy2_VWC","Canopy2_PER","Btwn1_VWC","Btwn1_PER","Btwn2_VWC","Btwn2_PER","Notes"
2018-10-17,"NG, AN","1.0","Native","Left","ERIFAS","1.0","41.2","1.77","37.5","1.702","37.5","1.712","38.3","1.72",NA
2018-10-17,"NG, AN","1.0","Native","Left","ERIFAS","2.0","38.9","1.729","31.9","1.612","40.5","1.757","35.1","1.665",NA
2018-10-17,"NG, AN","1.0","Native","Left","ERIFAS","3.0","27.9","1.563","33.3","1.655","26.1","1.563","26.9","1.574",NA
2018-10-17,"NG, AN","1.0","Native","Right","ERIFAS","4.0","37.9","1.763","37.2","1.706","37.9","1.746","38.0","1.738",NA
2018-10-17,"NG, AN","2.0","Native","Right","ERIFAS","5.0","38.4","1.718","44.1","1.839","40.6","1.778","33.5","1.65",NA
2018-10-17,"NG, AN","2.0","Native","Left","ERIFAS","6.0","34.9","1.658","36.9","1.692","39.0","1.728","40.1","1.749",NA
2018-10-17,"NG, AN","2.0","Native","Right","ERIFAS","7.0","34.4","1.641","29.7","1.568","34.1","1.638","34.9","1.649",NA
2018-10-17,"NG, AN","3.0","Native","Right","ERIFAS","8.0","38.5","1.706","39.1","1.722","37.1","1.686","38.5","1.71",NA
2018-10-17,"NG, AN","3.0","Native","Left","ERIFAS","9.0","36.2","1.668","37.7","1.693","36.7","1.677","36.7","1.679",NA
2018-10-17,"NG, AN","3.0","Native","Right","ERIFAS","10.0","36.1","1.667","34.5","1.639","39.5","1.725","34.0","1.637",NA
2018-10-17,"NG, AN","1.0","Native","Left","FRACAL","1.0","39.2","1.739","35.1","1.65","40.6","1.745","30.4","1.586",NA
2018-10-17,"NG, AN","1.0","Native","Left","FRACAL","2.0","41.1","1.754","37.4","1.695","37.5","1.743","36.5","1.704",NA
2018-10-17,"NG, AN","1.0","Native","Left","FRACAL","3.0","36.3","1.685","35.3","1.656","34.7","1.646","38.7","1.732",NA
2018-10-17,"NG, AN","1.0","Native","Right","FRACAL","4.0","27.2","1.541","25.3","1.508","27.1","1.539","27.5","1.539",NA
2018-10-17,"NG, AN","1.0","Native","Left","FRACAL","5.0","23.8","1.492","32.5","1.613","24.4","1.515","39.5","1.725",NA
2018-10-17,"NG, AN","2.0","Native","Left","FRACAL","6.0","26.1","1.512","37.1","1.684","33.1","1.621","33.6","1.632",NA
